iter	Passed	Remaining
0	131	65631
1	136	34055
2	142	23635
3	147	18308
4	152	15124
5	157	13008
6	162	11469
7	167	10329
8	173	9439
9	177	8721
10	183	8156
11	188	7671
12	193	7250
13	198	6904
14	203	6594
15	209	6326
16	213	6079
17	219	5865
18	224	5674
19	229	5498
20	234	5337
21	239	5200
22	244	5065
23	249	4940
24	254	4829
25	259	4726
26	264	4628
27	269	4549
28	274	4462
29	279	4384
30	285	4322
31	290	4253
32	295	4188
33	300	4123
34	306	4073
35	311	4020
36	317	3967
37	322	3918
38	327	3868
39	332	3821
40	337	3781
41	342	3737
42	347	3695
43	352	3654
44	357	3617
45	362	3578
46	367	3544
47	372	3508
48	377	3476
49	382	3444
50	387	3413
51	393	3388
52	399	3365
53	403	3336
54	409	3315
55	414	3286
56	419	3257
57	424	3234
58	429	3208
59	434	3185
60	439	3161
61	444	3137
62	449	3116
63	454	3096
64	459	3075
65	464	3055
66	469	3034
67	474	3011
68	479	2993
69	484	2975
70	489	2959
71	494	2941
72	499	2922
73	504	2905
74	510	2890
75	515	2874
76	520	2857
77	525	2843
78	530	2825
79	535	2810
80	540	2794
81	545	2780
82	550	2767
83	555	2750
84	560	2736
85	565	2723
86	570	2709
87	576	2697
88	581	2684
89	586	2671
90	591	2659
91	596	2645
92	601	2630
93	605	2617
94	611	2604
95	616	2594
96	622	2585
97	628	2578
98	634	2571
99	641	2566
100	648	2562
101	656	2561
102	663	2559
103	670	2551
104	675	2542
105	681	2531
106	686	2523
107	693	2515
108	699	2507
109	705	2499
110	711	2491
111	716	2483
112	722	2475
113	728	2467
114	735	2461
115	741	2453
116	747	2448
117	753	2440
118	760	2435
119	766	2427
120	773	2422
121	779	2414
122	785	2406
123	791	2399
124	797	2391
125	803	2383
126	809	2376
127	815	2369
128	821	2361
129	826	2352
130	831	2343
131	836	2331
132	841	2322
133	846	2313
134	852	2304
135	857	2296
136	863	2288
137	869	2279
138	874	2271
139	879	2262
140	884	2252
141	889	2242
142	894	2233
143	899	2224
144	905	2216
145	911	2208
146	916	2200
147	921	2191
148	926	2183
149	932	2175
150	937	2166
151	942	2157
152	947	2149
153	952	2140
154	957	2131
155	962	2122
156	966	2112
157	972	2105
158	977	2096
159	982	2088
160	987	2080
161	992	2071
162	997	2062
163	1003	2055
164	1008	2046
165	1013	2039
166	1018	2030
167	1023	2022
168	1029	2015
169	1034	2007
170	1039	1999
171	1044	1992
172	1050	1985
173	1055	1977
174	1060	1969
175	1065	1960
176	1070	1953
177	1075	1945
178	1080	1937
179	1085	1929
180	1090	1921
181	1095	1914
182	1101	1907
183	1106	1899
184	1111	1891
185	1116	1884
186	1120	1876
187	1125	1868
188	1130	1860
189	1135	1852
190	1140	1845
191	1145	1838
192	1151	1831
193	1156	1824
194	1161	1816
195	1166	1809
196	1171	1802
197	1176	1794
198	1181	1787
199	1186	1780
200	1191	1772
201	1196	1765
202	1202	1758
203	1207	1751
204	1212	1745
205	1217	1737
206	1222	1730
207	1228	1724
208	1233	1716
209	1238	1709
210	1242	1702
211	1248	1695
212	1254	1689
213	1259	1683
214	1265	1677
215	1270	1670
216	1275	1663
217	1280	1657
218	1286	1650
219	1291	1643
220	1297	1637
221	1302	1631
222	1307	1624
223	1313	1617
224	1317	1610
225	1323	1604
226	1327	1597
227	1332	1590
228	1338	1584
229	1343	1577
230	1348	1570
231	1354	1564
232	1359	1557
233	1364	1550
234	1369	1544
235	1375	1538
236	1380	1532
237	1385	1525
238	1391	1519
239	1396	1513
240	1402	1507
241	1408	1501
242	1413	1494
243	1418	1487
244	1423	1481
245	1428	1475
246	1433	1468
247	1439	1462
248	1443	1455
249	1448	1448
250	1454	1442
251	1459	1436
252	1464	1429
253	1470	1423
254	1475	1417
255	1480	1411
256	1485	1404
257	1490	1398
258	1496	1392
259	1500	1385
260	1506	1379
261	1511	1373
262	1516	1366
263	1522	1360
264	1527	1354
265	1532	1348
266	1537	1341
267	1542	1335
268	1547	1328
269	1552	1322
270	1557	1315
271	1562	1309
272	1567	1303
273	1572	1297
274	1577	1290
275	1582	1284
276	1588	1278
277	1593	1272
278	1598	1266
279	1603	1260
280	1608	1253
281	1613	1247
282	1618	1241
283	1623	1234
284	1629	1228
285	1634	1222
286	1638	1216
287	1644	1210
288	1649	1204
289	1654	1198
290	1659	1192
291	1664	1185
292	1669	1179
293	1675	1173
294	1680	1167
295	1685	1161
296	1691	1156
297	1696	1149
298	1701	1143
299	1706	1137
300	1711	1131
301	1716	1125
302	1721	1119
303	1726	1113
304	1731	1107
305	1736	1100
306	1741	1094
307	1746	1088
308	1751	1082
309	1756	1076
310	1761	1070
311	1766	1064
312	1771	1058
313	1776	1052
314	1781	1046
315	1786	1040
316	1792	1034
317	1797	1028
318	1802	1022
319	1807	1016
320	1812	1010
321	1817	1004
322	1822	998
323	1827	992
324	1832	986
325	1837	980
326	1842	974
327	1847	969
328	1852	962
329	1857	957
330	1863	951
331	1868	945
332	1874	940
333	1879	933
334	1883	927
335	1889	922
336	1894	916
337	1900	910
338	1905	905
339	1911	899
340	1917	893
341	1922	888
342	1927	882
343	1933	876
344	1938	870
345	1943	864
346	1948	859
347	1952	852
348	1958	847
349	1964	841
350	1968	835
351	1975	830
352	1980	824
353	1985	818
354	1990	812
355	1995	807
356	2000	801
357	2005	795
358	2010	789
359	2016	784
360	2021	778
361	2026	772
362	2031	766
363	2035	760
364	2040	754
365	2045	749
366	2050	743
367	2055	737
368	2060	731
369	2065	725
370	2069	719
371	2074	713
372	2079	708
373	2085	702
374	2090	696
375	2095	690
376	2101	685
377	2107	680
378	2113	674
379	2118	669
380	2123	663
